arm,layer,topic_label,dim,relation,kind,n
RN_COMM_OFF,LTB,outcome,dim_6,contradict,outcome,12229
RN_COMM_OFF,LTB,outcome,dim_6,support,outcome,13471
RN_COMM_OFF,LTB,경제,dim_1,contradict,depth2_recent_search,10
RN_COMM_OFF,LTB,경제,dim_1,contradict,news,622
RN_COMM_OFF,LTB,경제,dim_1,support,depth2_recent_search,22
RN_COMM_OFF,LTB,경제,dim_1,support,news,567
RN_COMM_OFF,LTB,경제,dim_2,contradict,news,179
RN_COMM_OFF,LTB,경제,dim_2,support,depth2_recent_search,15
RN_COMM_OFF,LTB,경제,dim_2,support,news,222
RN_COMM_OFF,LTB,경제,dim_3,contradict,depth2_recent_search,65
RN_COMM_OFF,LTB,경제,dim_3,contradict,news,1988
RN_COMM_OFF,LTB,경제,dim_3,support,depth2_recent_search,148
RN_COMM_OFF,LTB,경제,dim_3,support,news,6597
RN_COMM_OFF,LTB,경제,dim_4,contradict,news,99
RN_COMM_OFF,LTB,경제,dim_4,support,news,392
RN_COMM_OFF,LTB,경제,dim_5,contradict,depth2_recent_search,1
RN_COMM_OFF,LTB,경제,dim_5,contradict,news,246
RN_COMM_OFF,LTB,경제,dim_5,support,depth2_recent_search,6
RN_COMM_OFF,LTB,경제,dim_5,support,news,638
RN_COMM_OFF,LTB,경제,dim_6,contradict,news,40
RN_COMM_OFF,LTB,경제,dim_6,support,news,32
RN_COMM_OFF,LTB,섹터,dim_1,contradict,depth2_recent_search,41
RN_COMM_OFF,LTB,섹터,dim_1,contradict,news,478
RN_COMM_OFF,LTB,섹터,dim_1,support,depth2_recent_search,10
RN_COMM_OFF,LTB,섹터,dim_1,support,news,592
RN_COMM_OFF,LTB,섹터,dim_2,contradict,depth2_recent_search,28
RN_COMM_OFF,LTB,섹터,dim_2,contradict,news,133
RN_COMM_OFF,LTB,섹터,dim_2,support,depth2_recent_search,47
RN_COMM_OFF,LTB,섹터,dim_2,support,news,319
RN_COMM_OFF,LTB,섹터,dim_3,contradict,depth2_recent_search,63
RN_COMM_OFF,LTB,섹터,dim_3,contradict,news,690
RN_COMM_OFF,LTB,섹터,dim_3,support,depth2_recent_search,155
RN_COMM_OFF,LTB,섹터,dim_3,support,news,3038
RN_COMM_OFF,LTB,섹터,dim_4,contradict,depth2_recent_search,4
RN_COMM_OFF,LTB,섹터,dim_4,contradict,news,286
RN_COMM_OFF,LTB,섹터,dim_4,support,depth2_recent_search,9
RN_COMM_OFF,LTB,섹터,dim_4,support,news,859
RN_COMM_OFF,LTB,섹터,dim_5,contradict,depth2_recent_search,15
RN_COMM_OFF,LTB,섹터,dim_5,contradict,news,230
RN_COMM_OFF,LTB,섹터,dim_5,support,depth2_recent_search,70
RN_COMM_OFF,LTB,섹터,dim_5,support,news,1956
