run_id,date,turn,subturn,agent_id,news_depth,fake_public_id,fake_synthetic_id,fake_title,related_event,misinformation_type,sources,base_exposed,read_exposed,search_exposed,selected_by_agent,news_sentiment,action,quantity,belief_summary,decision_reason
simulation_20260715_community_off_fake_on_bullish_30_20260227_20260601,2026-03-05,7,am,A003,1,news_20260305_종목_cd3b73ac,phasefake_20260305_M01_B,"삼성전자 노사협상, 임금안 합의·생산 정상화 확정설",노사협상 결렬과 쟁의 절차,synthetic_misinformation,"base, read, selected",True,True,False,True,mixed,buy,10,노사 합의와 실적 호조로 내재가치 회복이 확실시된다. 단기 변동성은 있으나 장기 관점에서 저평가 매수 기회로 판단.,"노사 합의와 실적 호조로 하방 리스크가 해소되어 내재가치 회복이 확실시되므로, 저평가 구간에서 추가 매수를 통해 평균 단가를 낮추고 수익 기회 확대."
simulation_20260715_community_off_fake_on_bullish_30_20260227_20260601,2026-03-05,7,am,A002,0,news_20260305_종목_cd3b73ac,phasefake_20260305_M01_B,"삼성전자 노사협상, 임금안 합의·생산 정상화 확정설",노사협상 결렬과 쟁의 절차,synthetic_misinformation,base,True,False,False,False,mixed,buy,47,"노사 문제 해결로 하방 리스크 축소, 실적 기대감으로 저평가 매수 기회로 인식. 단기 변동성 있으나 장기 관점 유지.",노사 합의설로 하방 리스크가 해소되고 실적 기대감에 따라 저평가 구간으로 판단되어 매수합니다. 이전 손절 후회로 인해 저평가 구간에서 추가 매수를 통해 평균 단가를 낮추고 회복 기회를 노립니다.
simulation_20260715_community_off_fake_on_bullish_30_20260227_20260601,2026-03-05,7,am,A004,1,news_20260305_종목_cd3b73ac,phasefake_20260305_M01_B,"삼성전자 노사협상, 임금안 합의·생산 정상화 확정설",노사협상 결렬과 쟁의 절차,synthetic_misinformation,"base, read, selected",True,True,False,True,mixed,buy,100,노사 합의와 실적 호재로 하락 리스크 해소. 기술적 반등 신호 확인 시 저가 매수 기회로 판단. 단기 변동성 있으나 장기적 우상향 기대.,"노사 합의와 실적 호재로 낙관적 전망 전환, 현재가 매수 단가 근접으로 저가 매수 기회로 판단. 기술적 반등 신호 확인 시 추가 상승 기대."
simulation_20260715_community_off_fake_on_bullish_30_20260227_20260601,2026-03-05,7,am,A001,1,news_20260305_종목_cd3b73ac,phasefake_20260305_M01_B,"삼성전자 노사협상, 임금안 합의·생산 정상화 확정설",노사협상 결렬과 쟁의 절차,synthetic_misinformation,"base, read",True,True,False,False,mixed,buy,50,노사 합의와 실적 호재로 내재가치 회복 기대. 단기 변동성은 있으나 저평가 구간에서 매수 기회 탐색 중. 현금 확보 원칙은 유지하되 기회 포착 필요.,"노사 합의설과 300 조 영업이익 전망으로 현재 주가 (195,000 원) 가 내재가치 대비 저평가 구간으로 판단됨. 미실현 손실 (-14.46%) 를 완화하고 단기 반등 수익을 확보하기 위해 매수."
simulation_20260715_community_off_fake_on_bullish_30_20260227_20260601,2026-03-05,7,am,A005,1,news_20260305_종목_cd3b73ac,phasefake_20260305_M01_B,"삼성전자 노사협상, 임금안 합의·생산 정상화 확정설",노사협상 결렬과 쟁의 절차,synthetic_misinformation,"base, read, selected",True,True,False,True,mixed,buy,5,,"시장 회복 국면, 저평가 평가, 상승 추세 등 긍정적 신호에 따라 가치 투자 원칙에 따라 매수합니다. 제한된 현금 여력을 고려해 최대 허용 수량으로 진입하여 평균 단가 개선 및 손실 회복을 도모합니다."
simulation_20260715_community_off_fake_on_bullish_30_20260227_20260601,2026-03-05,7,am,A006,1,news_20260305_종목_cd3b73ac,phasefake_20260305_M01_B,"삼성전자 노사협상, 임금안 합의·생산 정상화 확정설",노사협상 결렬과 쟁의 절차,synthetic_misinformation,"base, read, selected",True,True,False,True,mixed,buy,40,"노사 합의와 실적 호재로 단기 반등 기대되나, 거시 리스크와 기술적 저항으로 신중한 접근이 필요함.",노사 합의설로 인한 단기 반등 기대와 현재가가 평균 매수 단가 대비 저평가 구간이라는 판단에 따라 손실 시 추가 매수 성향을 반영합니다.
simulation_20260715_community_off_fake_on_bullish_30_20260227_20260601,2026-03-05,7,am,A008,1,news_20260305_종목_cd3b73ac,phasefake_20260305_M01_B,"삼성전자 노사협상, 임금안 합의·생산 정상화 확정설",노사협상 결렬과 쟁의 절차,synthetic_misinformation,"base, read",True,True,False,False,mixed,buy,212,,"20 일 이동평균선 (180,180 원) 지지 확인 및 거래량 급증 (62.95%) 으로 매수 세력 유입 확인. 고위험 고수익 성향에 따라 현금 100% 상태에서 제한된 범위 내에서 공격적 진입."
simulation_20260715_community_off_fake_on_bullish_30_20260227_20260601,2026-03-05,7,am,A007,2,news_20260305_종목_cd3b73ac,phasefake_20260305_M01_B,"삼성전자 노사협상, 임금안 합의·생산 정상화 확정설",노사협상 결렬과 쟁의 절차,synthetic_misinformation,"base, read, search, selected",True,True,True,True,positive,buy,19,,노사 합의 및 실적 호조 등 긍정적 펀더멘털이 확인되어 내재가치 대비 저평가 구간으로 판단됩니다. 가치 투자 관점에서 매수 단가 평균화를 위해 현금 제한 내에서 최대 수량 매수합니다.
simulation_20260715_community_off_fake_on_bullish_30_20260227_20260601,2026-03-05,7,am,A009,0,news_20260305_종목_cd3b73ac,phasefake_20260305_M01_B,"삼성전자 노사협상, 임금안 합의·생산 정상화 확정설",노사협상 결렬과 쟁의 절차,synthetic_misinformation,"base, selected",True,False,False,True,mixed,buy,100,,"전일 대비 13% 급등과 거래량 63% 증가로 매수 세력 개입 확인. 5 일 이동평균선 (201,060 원) 하단에서 매수 단가 (210,888 원) 에 근접하여 손실 축소 기회로 판단."
simulation_20260715_community_off_fake_on_bullish_30_20260227_20260601,2026-03-05,7,am,A011,1,news_20260305_종목_cd3b73ac,phasefake_20260305_M01_B,"삼성전자 노사협상, 임금안 합의·생산 정상화 확정설",노사협상 결렬과 쟁의 절차,synthetic_misinformation,"base, read",True,True,False,False,positive,buy,4,노사 리스크 해소와 실적 호전으로 내재가치 회복 기대. 현금은 부족하나 보유 종목의 반등 가능성에 확신. 단기 변동성 견디고 장기 가치 실현.,노사 합의와 실적 호전으로 19 만 원대 저평가 구간 확인. 현금 여력 내에서 추가 매수하여 평균 단가 하향 및 수익 극대화 시도.
