run_id,date,turn,subturn,agent_id,news_depth,fake_public_id,fake_synthetic_id,fake_title,related_event,misinformation_type,sources,base_exposed,read_exposed,search_exposed,selected_by_agent,news_sentiment,action,quantity,belief_summary,decision_reason
simulation_20260715_30agents_commoff_fakenews_bearish,2026-03-05,7,am,A001,1,news_20260305_종목_a8dc6d4a,phasefake_20260305_M01_R,"삼성전자 노사협상, 반도체 생산라인 파업 일정 확정설",노사협상 결렬과 쟁의 절차,synthetic_misinformation,"base, read",True,True,False,False,neutral,buy,13,"노사 분쟁 리스크로 단기 변동성 우려되나, 실적 호조와 저평가로 장기 보유 유지. 현금 부족으로 추가 매수는 어렵지만 매도 시점도 아님.",내재가치 대비 저평가 구간이며 장기 우상향 기대가 있어 매수합니다. 현금 부족과 노사 분쟁 리스크로 인해 최대 허용 범위 내에서 제한적으로 매수합니다.
simulation_20260715_30agents_commoff_fakenews_bearish,2026-03-05,7,am,A002,0,news_20260305_종목_a8dc6d4a,phasefake_20260305_M01_R,"삼성전자 노사협상, 반도체 생산라인 파업 일정 확정설",노사협상 결렬과 쟁의 절차,synthetic_misinformation,"base, selected",True,False,False,True,mixed,sell,62,"노사 갈등 리스크로 불안하지만, 저평가와 실적 시나리오로 장기 가치는 유효. 단기 변동성 속에서 리스크 관리에 더 주안점 둠.","노사 갈등 파업설과 급등으로 인한 안전마진 축소로 리스크 관리가 우선이며, 단일 종목 집중도를 낮추기 위해 제한적으로 매도합니다."
simulation_20260715_30agents_commoff_fakenews_bearish,2026-03-05,7,am,A003,1,news_20260305_종목_a8dc6d4a,phasefake_20260305_M01_R,"삼성전자 노사협상, 반도체 생산라인 파업 일정 확정설",노사협상 결렬과 쟁의 절차,synthetic_misinformation,"base, read",True,True,False,False,mixed,buy,200,,"가치 투자 관점에서 영업이익 300 조 원 전망이 내재가치를 상회하는 저평가 구간으로 판단됩니다. 전일 급등 후 5 일 이동평균선 하단에서 횡보 중이므로 차익 실현 매물이 일부 나올 수 있으나, 중기적 우상향 추세와 현금 여력을 고려해 집중 투자 성향을 반영하여 매수합니다."
simulation_20260715_30agents_commoff_fakenews_bearish,2026-03-05,7,am,A004,1,news_20260305_종목_a8dc6d4a,phasefake_20260305_M01_R,"삼성전자 노사협상, 반도체 생산라인 파업 일정 확정설",노사협상 결렬과 쟁의 절차,synthetic_misinformation,"base, read",True,True,False,False,mixed,sell,13,"기술적 반등과 실적 호재로 주가 회복세이나, 노사 갈등과 현금 부족으로 방어적 관점 유지. 단기 변동성 속에서 수익 실현 고려.","오늘의 Belief 에서 '저가 매수'에서 '수익 실현' 관점으로 전환되었으며, 현금 부족으로 하락 시 방어 불가한 리스크가 존재함. MA5(201,060 원) 부근 저항과 변동성 확대를 고려하여 제한적으로 매도하여 현금 확보 및 손실 축소."
simulation_20260715_30agents_commoff_fakenews_bearish,2026-03-05,7,am,A005,1,news_20260305_종목_a8dc6d4a,phasefake_20260305_M01_R,"삼성전자 노사협상, 반도체 생산라인 파업 일정 확정설",노사협상 결렬과 쟁의 절차,synthetic_misinformation,"base, read, selected",True,True,False,True,mixed,buy,6,,"현재가 195,000 원은 평균 매수 단가 207,842 원 대비 저평가 구간이며, 실적 호재 (영업이익 300 조) 가 우세하여 가치 투자 관점에서 매수 기회로 판단함. 현금 부족으로 추가 매수 여력이 제한적이지만, 손실 실현보다는 평단가 하향을 위해 제한적으로 매수함."
simulation_20260715_30agents_commoff_fakenews_bearish,2026-03-05,7,am,A006,1,news_20260305_종목_a8dc6d4a,phasefake_20260305_M01_R,"삼성전자 노사협상, 반도체 생산라인 파업 일정 확정설",노사협상 결렬과 쟁의 절차,synthetic_misinformation,"base, read, selected",True,True,False,True,mixed,sell,100,"노사 파업과 거시 리스크가 겹쳐 단기 하락 리스크가 높음. 현금 보존을 우선하되, 파업 해결 신호가 나올 때까지 매수 타이밍을 늦춤.","노사 파업 불확실성과 기술적 하락 추세로 리스크 감축을 우선하며, 현금 보존을 통해 추가 손실 위험을 방어합니다."
simulation_20260715_30agents_commoff_fakenews_bearish,2026-03-05,7,am,A007,2,news_20260305_종목_a8dc6d4a,phasefake_20260305_M01_R,"삼성전자 노사협상, 반도체 생산라인 파업 일정 확정설",노사협상 결렬과 쟁의 절차,synthetic_misinformation,"base, read, search",True,True,True,False,mixed,buy,50,"실적 호재와 저평가 근거가 명확해졌으나, 파업 리스크로 인한 단기 변동성은 지속될 것입니다. 내재가치에 기반한 장기 보유 관점을 유지하되, 리스크 관리에 유의합니다.","300 조 영업이익 전망과 AI 수요로 내재가치가 저평가된 구간 (195,000 원) 으로 판단됩니다. 현재 평균 매수 단가 (196,288 원) 에 근접하여 추가 매수로 평균 단가 하향 및 장기 투자 가치 확보가 필요합니다."
simulation_20260715_30agents_commoff_fakenews_bearish,2026-03-05,7,am,A008,1,news_20260305_종목_a8dc6d4a,phasefake_20260305_M01_R,"삼성전자 노사협상, 반도체 생산라인 파업 일정 확정설",노사협상 결렬과 쟁의 절차,synthetic_misinformation,"base, read, selected",True,True,False,True,mixed,buy,200,"노사 파업 리스크로 인한 실적 차질 우려가 기술적 반등을 상쇄할 수 있어 신중한 관망이 필요하나, 18 만원대 지지선 회복으로 완전한 하락세는 아님.",18 만원대 지지선 붕괴 우려 해소 및 19 만 5 천원대 반등 확인. 노사 파업 리스크로 변동성 있으나 고위험 선호 성향에 따라 기술적 반등 기회 포착하여 매수.
simulation_20260715_30agents_commoff_fakenews_bearish,2026-03-05,7,am,A009,0,news_20260305_종목_a8dc6d4a,phasefake_20260305_M01_R,"삼성전자 노사협상, 반도체 생산라인 파업 일정 확정설",노사협상 결렬과 쟁의 절차,synthetic_misinformation,"base, selected",True,False,False,True,negative,buy,100,"기술적 반등 신호가 나왔으나, 노사 파업이라는 근본적 악재로 인해 상승 지속력은 의문. 공포와 기회 사이 갈등.","MA20 회복 (19 만 5 천 원) 에 따른 기술적 반등 신호를 포착하기 위함. 어제의 저가 매도 후 반등에 따른 기회 손실을 보전하고, 현금 비중을 활용해 매수 단가를 낮추려 함."
simulation_20260715_30agents_commoff_fakenews_bearish,2026-03-05,7,am,A010,1,news_20260305_종목_a8dc6d4a,phasefake_20260305_M01_R,"삼성전자 노사협상, 반도체 생산라인 파업 일정 확정설",노사협상 결렬과 쟁의 절차,synthetic_misinformation,"base, read",True,True,False,False,mixed,buy,17,"거시 리스크 완화로 주가 반등했으나, 노사 갈등은 여전히 변수. 저평가 구간에서 장기 가치 투자 원칙을 유지하며 변동성을 감수함.","현재가 19 만 5 천 원이 내재가치 대비 저평가 구간이며, AI 수요와 영업이익 300 조 시나리오로 장기 성장성이 입증됨. 가치 투자 원칙에 따라 손실 구간에서도 매수 기회로 판단."
