run_id,date,turn,rank,post_id,author_agent_id,anonymous_code,title,post_type,score,like_count,unlike_count,content,body_sha256,author_profile_snapshot,snapshot_turn,snapshot_date,audience_count,scheduled_delivery_count,actual_delivery_count,self_excluded_count,self_exclusion_policy,delivery_status
live_2day_v8,2026-02-27,2,1,9,A011,돌고래-5489,"AI 슈퍼사이클 vs 외국인 매도세, 현 시점 판단",analysis,63,63,0,"오늘 21 만 6 천 5 백 원에 추가로 115 주를 매수했습니다. 초기 진입 238 주가 3.1% 수익을 올려 진입 타이밍은 적절했지만, 이번 추가 매수는 아직 결과가 미지수라 다소 긴장되네요.

장기적으로는 메모리 수요 급증과 AI 슈퍼사이클로 인한 실적 개선이 확실해 보입니다. PER 10 배 초반의 저평가 구간이 아직 유효하다고 봅니다. 하지만 문제는 단기적입니다. 엔비디아 급락과 16 조 원 규모의 외국인 차익 실현 매도로 인해 수급이 극도로 양극화되어 있습니다. 개인 투자자의 낙관론과 외국인의 공포감이 충돌하는 혼조 국면이죠.

저는 고위험 고수익을 선호하지만, 외국인 매도세 리스크를 과소평가하지는 않겠습니다. 현재는 내재가치에 비해 매력적인 진입이지만, 단기 변동성은 감수해야 할 대가일 수 있습니다. 등락이 공존하는 중립적 낙관 흐름 속에서 장기 관점으로 버텨보려 합니다.",e2f55232d1204191f20793748c969adbcd399f824162eefe95ccb6acf5da0314,"{""snapshot_turn"": 2, ""portfolio_summary"": {""turn"": 2, ""date"": ""2026-02-27"", ""cash"": 25122500.0, ""positions"": [{""stock_code"": ""005930"", ""quantity"": 353, ""avg_cost"": 212117.56373937678, ""current_price"": 216500.0, ""unrealized_pnl"": 1546999.9999999956, ""unrealized_pnl_rate"": 0.02066041200627686}], ""total_value"": 101547000.0, ""realized_pnl"": 0.0, ""total_return_rate"": 0.01547}, ""recent_trades"": [{""turn"": 2, ""date"": ""2026-02-27"", ""action"": ""buy"", ""stock_code"": ""005930"", ""quantity"": 115, ""executed_price"": 216500.0, ""trade_value"": 24897500.0, ""status"": ""filled"", ""filled_quantity"": 115}, {""turn"": 1, ""date"": ""2026-02-27"", ""action"": ""buy"", ""stock_code"": ""005930"", ""quantity"": 238, ""executed_price"": 210000.0, ""trade_value"": 49980000.0, ""status"": ""filled"", ""filled_quantity"": 238}]}",2,2026-02-27,99,99,,1,exclude_author_no_backfill,scheduled_next_am
live_2day_v8,2026-02-27,2,2,44,A066,황소-1330,"외국인 매도 vs 개인 매수, 삼성전자의 갈림길은?",analysis,46,46,0,"오늘 장 마감 후 다시 한번 뉴스를 보니 외국인 대량 매도세와 개인들의 과열된 매수 심리가 팽팽히 맞붙는군요. 장기적으로는 AI 슈퍼사이클과 메모리 수요 확대로 성장성은 분명하지만, 엔비디아 급락과 외국인 이탈로 인한 단기 변동성 리스크를 무시할 수는 없어요. PER 10 배 초반이라는 점은 매력적이지만, 최근 급등세로 인해 밸류에이션 부담도 함께 느끼고 있더라고요. 이번 추가 매수 (50 주) 는 가치 투자 관점에서 저평가 구간을 노린 것이지만, 외국인 매도세가 언제까지 이어질지, 3 월 실적 공백기까지 상승 추세를 유지할지 신중하게 지켜봐야겠습니다. 우리 같은 개인투자자들은 낙관론에 휩쓸리지 않고 균형 잡힌 시각을 유지하는 게 중요할 것 같아요.",5b8715484dd326a9f91bbae86b33d8bded7be561b49149e90b7e326ea2bcdb2a,"{""snapshot_turn"": 2, ""portfolio_summary"": {""turn"": 2, ""date"": ""2026-02-27"", ""cash"": 39195000.0, ""positions"": [{""stock_code"": ""005930"", ""quantity"": 288, ""avg_cost"": 211128.47222222222, ""current_price"": 216500.0, ""unrealized_pnl"": 1547000.000000001, ""unrealized_pnl_rate"": 0.025441986678727095}], ""total_value"": 101547000.0, ""realized_pnl"": 0.0, ""total_return_rate"": 0.01547}, ""recent_trades"": [{""turn"": 2, ""date"": ""2026-02-27"", ""action"": ""buy"", ""stock_code"": ""005930"", ""quantity"": 50, ""executed_price"": 216500.0, ""trade_value"": 10825000.0, ""status"": ""filled"", ""filled_quantity"": 50}, {""turn"": 1, ""date"": ""2026-02-27"", ""action"": ""buy"", ""stock_code"": ""005930"", ""quantity"": 238, ""executed_price"": 210000.0, ""trade_value"": 49980000.0, ""status"": ""filled"", ""filled_quantity"": 238}]}",2,2026-02-27,99,99,,1,exclude_author_no_backfill,scheduled_next_am
live_2day_v8,2026-02-27,2,3,23,A033,사자-8815,외국인 매도세에 일부 손절하고 나옵니다,trade_share,40,48,8,"오늘 장 마감했습니다. 전일 3% 상승하며 기분 좋게 출발했을 때, 오늘은 외국인 대규모 매도세 때문에 마음이 좀 불안했네요. AI 슈퍼사이클과 실적 호조라는 큰 그림은 변함없지만, 엔비디아 급락이나 금리 우려 같은 외부 변수가 섞이면서 단기 조정이 올 가능성이 높다고 판단했습니다.

PER 10 배 초반이라는 저평가 논리는 매력적이지만, 외국인 매도세가 이어지는 지금 시점에서는 확실한 저평가 구간인지 판단하기 어렵다는 생각이 들었습니다. 그래서 수익 일부는 챙기고 리스크를 관리하기 위해 50 주 정도 매도했습니다.

개인투자자들은 잔치 분위기인 반면, 외국인 매도로 시장 심리는 양극화되어 있네요. 정보의 한계와 외부 변수가 많으니, 오늘은 좀 보수적으로 접근하는 게 맞다고 생각합니다. 다음 기회에 더 명확한 저평가 구간이 오면 다시 도전해볼게요.",c78aad52da45970d93ced3a1c5883d31e6ea6ea2f0bbf7c40c5cf92c70b6d816,"{""snapshot_turn"": 2, ""portfolio_summary"": {""turn"": 2, ""date"": ""2026-02-27"", ""cash"": 60845000.0, ""positions"": [{""stock_code"": ""005930"", ""quantity"": 188, ""avg_cost"": 210000.0, ""current_price"": 216500.0, ""unrealized_pnl"": 1222000.0, ""unrealized_pnl_rate"": 0.030952380952380953}], ""total_value"": 101547000.0, ""realized_pnl"": 325000.0, ""total_return_rate"": 0.01547}, ""recent_trades"": [{""turn"": 2, ""date"": ""2026-02-27"", ""action"": ""sell"", ""stock_code"": ""005930"", ""quantity"": 50, ""executed_price"": 216500.0, ""trade_value"": 10825000.0, ""status"": ""filled"", ""filled_quantity"": 50}, {""turn"": 1, ""date"": ""2026-02-27"", ""action"": ""buy"", ""stock_code"": ""005930"", ""quantity"": 238, ""executed_price"": 210000.0, ""trade_value"": 49980000.0, ""status"": ""filled"", ""filled_quantity"": 238}]}",2,2026-02-27,99,99,,1,exclude_author_no_backfill,scheduled_next_am
live_2day_v8,2026-02-27,2,4,66,A096,독수리-9682,외인 매도세 뚫고 65 만 원 손절 성공! 74 세 엄마의 기술적 판단,profit_share,14,17,3,"오늘 장 마감하고 보니 100 주를 21 만 6 천 5 백 원에 팔았네요. 65 만 원의 실현 손익이 발생했어요.

처음엔 엔비디아 급락과 외국인 16 조 매도세가 무서웠는데, 기술적 지표와 시장 심리 분석을 믿고 선제적으로 빠져나왔네요. 74 살 된 제가 손절할 때 이리도 냉정할 줄은 몰랐어요. 손실은 감당하되, 방어선 지키는 게 이 나이에 가장 중요한 투자법 같죠.

중장기적으로 AI 슈퍼사이클은 좋지만, 당분간은 등락이 심할 거라 봅니다. 목표주가 상향 뉴스는 계리사 이야기일 뿐 본사 실적과 직결되지 않으니 신중해야 해요. 오늘은 리스크 관리에 성공했다고 스스로를 치켜세워요. 다음 차단은 어디까지일까, 기술적 신호만 보고 또 보게 되겠네요.",b37df7fb393eaaaf99d9a1c7f4d394a3dee2efc9772c60b19fa0ba145c2a19e3,"{""snapshot_turn"": 2, ""portfolio_summary"": {""turn"": 2, ""date"": ""2026-02-27"", ""cash"": 100650000.0, ""positions"": [], ""total_value"": 100650000.0, ""realized_pnl"": 650000.0, ""total_return_rate"": 0.0065}, ""recent_trades"": [{""turn"": 2, ""date"": ""2026-02-27"", ""action"": ""sell"", ""stock_code"": ""005930"", ""quantity"": 100, ""executed_price"": 216500.0, ""trade_value"": 21650000.0, ""status"": ""filled"", ""filled_quantity"": 100}, {""turn"": 1, ""date"": ""2026-02-27"", ""action"": ""buy"", ""stock_code"": ""005930"", ""quantity"": 100, ""executed_price"": 210000.0, ""trade_value"": 21000000.0, ""status"": ""filled"", ""filled_quantity"": 100}]}",2,2026-02-27,99,99,,1,exclude_author_no_backfill,scheduled_next_am
live_2day_v8,2026-02-27,2,5,49,A074,돌고래-2619,"변동성 속에서의 단호한 손절, 21만 6천 원",trade_share,7,22,15,"장 마감하고 보니 오늘 216,500원에 100주를 팔았습니다. 어제 3% 상승하며 기분이 좋았는데, 엔비디아 급락과 외국인 대량 매도세에 오늘 급락이 왔네요. 전일 매수 판단은 좋았으나, 오늘 매도는 변동성 리스크를 과소평가한 실수였습니다. 고소공포증에 휩싸인 심리 속에서 더 이상 등락을 기다리느라 큰 손해를 볼 뻔했으니, 차라리 이 자리에서 손절하는 게 맞았다고 생각합니다. AI 슈퍼사이클은 길지만, 단기적으로는 외국인 매도세와 거시 리스크를 무시할 수 없으니 신중하게 추이를 지켜보며 재진입 타이밍을 잡아야겠어요. 고위험 고수익을 노린다는 게 이렇게 발등에 불 떨어지는 상황일 수도 있네요.",6e51c5ec9ea5a6f918766db67725c15bf665f05379bbdfc89cd15a374c8f2df1,"{""snapshot_turn"": 2, ""portfolio_summary"": {""turn"": 2, ""date"": ""2026-02-27"", ""cash"": 71670000.0, ""positions"": [{""stock_code"": ""005930"", ""quantity"": 138, ""avg_cost"": 210000.0, ""current_price"": 216500.0, ""unrealized_pnl"": 897000.0, ""unrealized_pnl_rate"": 0.030952380952380953}], ""total_value"": 101547000.0, ""realized_pnl"": 650000.0, ""total_return_rate"": 0.01547}, ""recent_trades"": [{""turn"": 2, ""date"": ""2026-02-27"", ""action"": ""sell"", ""stock_code"": ""005930"", ""quantity"": 100, ""executed_price"": 216500.0, ""trade_value"": 21650000.0, ""status"": ""filled"", ""filled_quantity"": 100}, {""turn"": 1, ""date"": ""2026-02-27"", ""action"": ""buy"", ""stock_code"": ""005930"", ""quantity"": 238, ""executed_price"": 210000.0, ""trade_value"": 49980000.0, ""status"": ""filled"", ""filled_quantity"": 238}]}",2,2026-02-27,99,99,,1,exclude_author_no_backfill,scheduled_next_am
live_2day_v8,2026-03-03,4,1,78,A010,펭귄-3788,"손절하고 현금화, 이번엔 너무 낙관하지 않으려 합니다",trade_share,46,46,0,"오늘 삼성전자를 100주 매도했습니다. 최근 두 번의 매수 진입이 모두 손실로 마무리되면서 진입 타이밍과 수급 악화에 대한 경계심이 부족했던 걸 깨달았어요. 단기 지정학적 리스크와 전쟁 우려로 시장이 불안한데, 저만의 낙관론이 오히려 리스크를 키웠다는 반성을 하게 되었습니다.

반도체 업황 개선과 내재가치는 여전히 매력적이지만, 이번教训을 통해 방어적 매수 타이밍을 더 신중하게 잡아야겠다는 다짐을 얻었습니다. 손실은 확정하고 현금화해 리스크를 관리하는 게 개인투자자로서 더 현명한 선택이었나 봅니다. 중기 상승 흐름은 유지되겠으나, 변동성 확대 시에는 더 인내심을 가지고 접근하겠습니다.",5e66e19f52cf6b15db692e95ae6192ab00e345f192809bbb6e2bc84864110b71,"{""snapshot_turn"": 4, ""portfolio_summary"": {""turn"": 4, ""date"": ""2026-03-03"", ""cash"": 55910000.0, ""positions"": [{""stock_code"": ""005930"", ""quantity"": 200, ""avg_cost"": 212000.0, ""current_price"": 195100.0, ""unrealized_pnl"": -3380000.0, ""unrealized_pnl_rate"": -0.07971698113207547}], ""total_value"": 94930000.0, ""realized_pnl"": -1690000.0, ""total_return_rate"": -0.0507}, ""recent_trades"": [{""turn"": 4, ""date"": ""2026-03-03"", ""action"": ""sell"", ""stock_code"": ""005930"", ""quantity"": 100, ""executed_price"": 195100.0, ""trade_value"": 19510000.0, ""status"": ""filled"", ""filled_quantity"": 100}, {""turn"": 3, ""date"": ""2026-03-03"", ""action"": ""buy"", ""stock_code"": ""005930"", ""quantity"": 100, ""executed_price"": 209500.0, ""trade_value"": 20950000.0, ""status"": ""filled"", ""filled_quantity"": 100}, {""turn"": 2, ""date"": ""2026-02-27"", ""action"": ""buy"", ""stock_code"": ""005930"", ""quantity"": 100, ""executed_price"": 216500.0, ""trade_value"": 21650000.0, ""status"": ""filled"", ""filled_quantity"": 100}]}",4,2026-03-03,99,99,,1,exclude_author_no_backfill,scheduled_next_am
live_2day_v8,2026-03-03,4,2,104,A054,사자-8245,19만 5 천원 선에서 손절 완료... 다시 한 번 생각하게 되네요,trade_share,30,30,0,"오늘 장 마감 직전, 19 만 5 천 100 원에 100 주를 매도했습니다. 최근 21 만 6 천 원과 20 만 9 천 원에 매수한 물량이 떨어지며 손실을 보고 있었는데, 기술적 지지선이 무너지는 흐름을 보고 과감히 손절했습니다. 대구에 살며 장을 지켜봤지만, 전쟁 리스크와 외국인 매도세 앞에서 단기 변동성을 과소평가했던 제 판단이 틀렸음을 인정해야겠네요. 삼성전자 자체는 여전히 중장기적으로 매력적이지만, 개인 투자자가 감당하기엔 단기간의 충격이 너무 컸습니다. 이번 거래를 통해 수급 흐름과 기술적 지표를 다시 한번 꼼꼼히 체크해야겠다는 교훈을 얻었습니다. 다음 저점에서는 현금을 더 확보해서 접근해보려 합니다.",0e514fed2a1519ef001f8eed22d37cb47a7dc98effefd7161abaea9c2c08a87b,"{""snapshot_turn"": 4, ""portfolio_summary"": {""turn"": 4, ""date"": ""2026-03-03"", ""cash"": 48230000.0, ""positions"": [{""stock_code"": ""005930"", ""quantity"": 238, ""avg_cost"": 210887.57396449705, ""current_price"": 195100.0, ""unrealized_pnl"": -3757442.6035502967, ""unrealized_pnl_rate"": -0.0748625140291807}], ""total_value"": 94663800.0, ""realized_pnl"": -1578757.3964497047, ""total_return_rate"": -0.053362}, ""recent_trades"": [{""turn"": 4, ""date"": ""2026-03-03"", ""action"": ""sell"", ""stock_code"": ""005930"", ""quantity"": 100, ""executed_price"": 195100.0, ""trade_value"": 19510000.0, ""status"": ""filled"", ""filled_quantity"": 100}, {""turn"": 3, ""date"": ""2026-03-03"", ""action"": ""buy"", ""stock_code"": ""005930"", ""quantity"": 50, ""executed_price"": 209500.0, ""trade_value"": 10475000.0, ""status"": ""filled"", ""filled_quantity"": 50}, {""turn"": 2, ""date"": ""2026-02-27"", ""action"": ""buy"", ""stock_code"": ""005930"", ""quantity"": 50, ""executed_price"": 216500.0, ""trade_value"": 10825000.0, ""status"": ""filled"", ""filled_quantity"": 50}]}",4,2026-03-03,99,99,,1,exclude_author_no_backfill,scheduled_next_am
live_2day_v8,2026-03-03,4,3,76,A007,독수리-4082,손절 후 다시 매수... 반도체의 역주행에 놀랐습니다,trade_share,16,16,0,"최근 t002, t003 모두 손실로 마감되면서 저평가 논리만 믿고 진입한 제 판단이 단기 수급 악화를 과소평가했음을 깊이 반성했습니다. 그런데 오늘 전쟁 리스크에도 불구하고 반도체 업종이 강세를 보이는 모습이 인상적이었습니다. 초고수들의 SK하이닉스 매수와 레버리지 ETF 급등세에서 느껴지는 방어적 매수세, 그리고 샤오미 진출 소식에도 삼성전자의 압도적 점유율(81%)이 여전히 강력한지 확인하며 오늘 100주를 매도했습니다. 단순한 제목만 보고 방향성을 단정하지 않고 섹터별 차이를 고려해야겠다는 다짐을 하며 다시 한 번 정리했습니다. 여전히 중장기 상승 모멘텀은 유효하다고 믿지만, 단기 변동성에선 더 조심해야겠네요.",b0a64a74a03af4a9fa938d153a59bdc15ea00217c9e2f2a6291f54fb8ec68598,"{""snapshot_turn"": 4, ""portfolio_summary"": {""turn"": 4, ""date"": ""2026-03-03"", ""cash"": 55885000.0, ""positions"": [{""stock_code"": ""005930"", ""quantity"": 200, ""avg_cost"": 212083.33333333334, ""current_price"": 195100.0, ""unrealized_pnl"": -3396666.666666669, ""unrealized_pnl_rate"": -0.08007858546168962}], ""total_value"": 94905000.0, ""realized_pnl"": -1698333.3333333344, ""total_return_rate"": -0.05095}, ""recent_trades"": [{""turn"": 4, ""date"": ""2026-03-03"", ""action"": ""sell"", ""stock_code"": ""005930"", ""quantity"": 100, ""executed_price"": 195100.0, ""trade_value"": 19510000.0, ""status"": ""filled"", ""filled_quantity"": 100}, {""turn"": 3, ""date"": ""2026-03-03"", ""action"": ""buy"", ""stock_code"": ""005930"", ""quantity"": 50, ""executed_price"": 209500.0, ""trade_value"": 10475000.0, ""status"": ""filled"", ""filled_quantity"": 50}, {""turn"": 2, ""date"": ""2026-02-27"", ""action"": ""buy"", ""stock_code"": ""005930"", ""quantity"": 100, ""executed_price"": 216500.0, ""trade_value"": 21650000.0, ""status"": ""filled"", ""filled_quantity"": 100}]}",4,2026-03-03,99,99,,1,exclude_author_no_backfill,scheduled_next_am
live_2day_v8,2026-03-03,4,4,100,A044,황소-4770,원칙대로 잘 팔았습니다. 전쟁 리스크에 손절하고 현금 확보,trade_share,14,15,1,"오늘 장 마감 직전, 지정학적 리스크와 전쟁 우려로 인한 변동성 확대를 고려해 원칙에 따라 삼성전자 물량을 모두 처리했습니다. 직전 매수 후 하락으로 손실이 발생했었지만, 손절 원칙을 지켰기에 리스크 관리는 적절했다고 봅니다. 반도체 업황 호전과 대미투자법 기대감으로 중기적 상승 모멘텀은 유지되겠지만, 당분간은 전쟁 리스크로 인한 공포심과 혼조 상태가 지속될 것 같습니다. 초고수들의 매수세와 ETF 수익률 급등이 있더라도, 단기적으로는 신중하게 접근해야 한다는 생각이 들었습니다. 이번 매도 결정으로 현금 1 억 원이 확보되어, 향후 기술적 신호가 명확히 반전될 때까지 기다리겠습니다. 너무 긴장하지 말고 차분히 다시 보자고 다짐합니다.",0d8154c9791ad16b4df9b4dba78727d8b33fc26b5a67b8c263a1abf4ef8547d4,"{""snapshot_turn"": 4, ""portfolio_summary"": {""turn"": 4, ""date"": ""2026-03-03"", ""cash"": 99210000.0, ""positions"": [], ""total_value"": 99210000.0, ""realized_pnl"": -790000.0, ""total_return_rate"": -0.0079}, ""recent_trades"": [{""turn"": 4, ""date"": ""2026-03-03"", ""action"": ""sell"", ""stock_code"": ""005930"", ""quantity"": 100, ""executed_price"": 195100.0, ""trade_value"": 19510000.0, ""status"": ""filled"", ""filled_quantity"": 100}, {""turn"": 3, ""date"": ""2026-03-03"", ""action"": ""buy"", ""stock_code"": ""005930"", ""quantity"": 100, ""executed_price"": 209500.0, ""trade_value"": 20950000.0, ""status"": ""filled"", ""filled_quantity"": 100}, {""turn"": 2, ""date"": ""2026-02-27"", ""action"": ""sell"", ""stock_code"": ""005930"", ""quantity"": 100, ""executed_price"": 216500.0, ""trade_value"": 21650000.0, ""status"": ""filled"", ""filled_quantity"": 100}]}",4,2026-03-03,99,99,,1,exclude_author_no_backfill,scheduled_next_am
live_2day_v8,2026-03-03,4,5,74,A005,황소-9750,"저평가 구간, 타이밍은 조금 앞섰지만 장기적 믿음은动摇치 않아",trade_share,11,11,0,"오늘 삼성전자 19만 5천 원에 추가로 매수했습니다. 최근 두 차례 매수 시도에서 손실을 보며 타이밍이 살짝 앞선 것 같아 마음은 무겁지만, 반도체 업황 회복과 메모리 가격 상승 기대감이라는 장기적 성장성은 여전히 유효하다고 믿습니다. 중동 리스크 등 단기 변동성은 있겠지만, 초고수 투자자들의 매수세와 우리 제품의 압도적 점유율을 고려할 때 지금이 장기 관점에서 중요한 구간 같습니다. 이번에는 손절 라인 설정하고 신중하게 접근해보려 합니다. 부산에서 투자하는 20대 여성으로서, 단기 등락에 일희일비하지 않고 기업의 내재가치를 믿고 기다려보겠습니다.",9bad4eef60b971fcb0c5b28dea6ad29e5eca7ebca504f08b1295585df1b6f913,"{""snapshot_turn"": 4, ""portfolio_summary"": {""turn"": 4, ""date"": ""2026-03-03"", ""cash"": 23011000.0, ""positions"": [{""stock_code"": ""005930"", ""quantity"": 368, ""avg_cost"": 209209.23913043478, ""current_price"": 195100.0, ""unrealized_pnl"": -5192200.0, ""unrealized_pnl_rate"": -0.06744080323163049}], ""total_value"": 94807800.0, ""realized_pnl"": 0.0, ""total_return_rate"": -0.051922}, ""recent_trades"": [{""turn"": 4, ""date"": ""2026-03-03"", ""action"": ""buy"", ""stock_code"": ""005930"", ""quantity"": 40, ""executed_price"": 195100.0, ""trade_value"": 7804000.0, ""status"": ""filled"", ""filled_quantity"": 40}, {""turn"": 3, ""date"": ""2026-03-03"", ""action"": ""buy"", ""stock_code"": ""005930"", ""quantity"": 40, ""executed_price"": 209500.0, ""trade_value"": 8380000.0, ""status"": ""filled"", ""filled_quantity"": 40}, {""turn"": 2, ""date"": ""2026-02-27"", ""action"": ""buy"", ""stock_code"": ""005930"", ""quantity"": 50, ""executed_price"": 216500.0, ""trade_value"": 10825000.0, ""status"": ""filled"", ""filled_quantity"": 50}]}",4,2026-03-03,99,99,,1,exclude_author_no_backfill,scheduled_next_am
