id,title,date,time,category,summary
news_20250101_종목_0031,HBM 호조로 11% 성장 예상 … 中 메모리 저가공세는 숙제,2025-01-01,16:00,종목,"2025년 글로벌 반도체 시장은 11.2% 성장한 697억달러 규모가 전망된다. AI 컴퓨팅 중심으로 고부가가치 제품이 주도하며 로직 반도체는 16.8%, 메모리는 13.4% 성장할 것으로 예상된다. 삼성전자는 AI 반도체·HBM 수요 증가에 수혜받을 수 있으나, 중국 메모리 업체의 공격적 성장으로 D램 점유율이 3분기 기준 6.0%에서 10.1%로 확대되면서 범용 반도체 부문 수익성 악화가..."
news_20250101_종목_0034,한화정밀기계 대표이사에 '반도체 베테랑' 김재현 내정,2025-01-01,17:26,종목,"한화정밀기계는 삼성전자 출신의 반도체 장비 전문가 김재현 한화모멘텀 신사업추진실장을 새 대표이사로 내정했다. 김 대표는 미국 매사추세츠공대에서 기계공학 석박사를 취득했고, 삼성전자에서 30여 년간 수석엔지니어와 R&D 부문장을 역임하며 반도체 장비 분야 베테랑으로 활동했다. 또한 글로벌 장비업체인 램리서치와 원익에서도 핵심 기술직을 역임하며 신기술 개발 경험을 축적했다. 신임 대표의 영입으로..."
news_20250101_섹터_0029,반도체 ·선박·바이오가 '수출 삼총사'… 문제는 올해다,2025-01-01,17:57,섹터,"2024년 한국 수출은 사상 최대 실적을 기록했으나, 전문가들은 올해 수출 전망이 긍정적이지 않다고 평가한다. 반도체 수출이 43.9% 증가한 1419억달러로 역대 최대를 달성했으며, 선박과 바이오헬스 품목도 각각 18%와 13.1% 증가했다. 대중국과 대미국 수출도 각각 6.6%와 10.5% 증가해 역대 최대 수출 실적을 달성했다. 그러나 반도체 수출 증가율이 둔화되고, 트럼프 2기 행정부..."
news_20250101_종목_0033,"LS일렉, 북미 매출 2년새 6배 … 글로벌 '빅4' 도전",2025-01-01,17:26,종목,"삼성전자 등 한국 주력 기업의 미국 투자 확대가 LS일렉트릭의 북미 전력 인프라 사업 성장을 견인했다. 삼성전자는 2022년 텍사스 테일러 반도체 공장 배전시스템 공급(1746억원)을 수주했으며, 반도체지원법·인플레이션감축법 보조금에 힘입은 한국 기업들의 미국 투자 증가가 LS일렉트릭의 북미 매출을 2022년 1201억원에서 2024년 6985억원으로 5.8배 증가시켰다. 미국 현지 고객사..."
news_20250101_섹터_0028,탄핵정국에도 '수출 약진' 작년 6838억弗 역대최대,2025-01-01,17:49,섹터,"반도체와 전자 제품 등 주력 수출품목의 호조로 인해 한국의 지난해 수출은 전년 대비 8.2% 증가한 6838억달러를 기록, 역대 최대치를 달성했다. 12월 수출 증가율은 6.6%로 5개월 만에 반등했다. 반도체 수출은 43.9% 증가한 1419억달러로, 14개월 연속 증가하며 역대 최대 실적을 달성했다. 그러나 올해 수출 전망은 어둡다. 도널드 트럼프 2기 행정부의 보편관세 정책과 원화 가치..."
news_20250101_경제_0012,나라 흔들리는 와중에 그나마…작년 수출 6838억달러 역대 최대,2025-01-01,22:00,경제,"지난해 대한민국의 수출은 8.2% 증가한 6838억달러를 기록, 역대 최대치를 달성했다. 특히 반도체 수출이 43.9% 증가한 1419억달러로 역대 최대를 경신했으며, IT 전 품목 수출도 3년 만에 전부 증가했다. 올해는 미국의 보호무역 정책과 원화 가치 하락 등으로 수출 전망이 어둡다. 11월 이후 5개월 만에 수출 증가율이 반등한 6.6%를 기록하며 긍정적인 신호를 보이고 있지만, 전체..."
news_20250101_섹터_0017,“거실부터 공장까지 삼성 로봇 투입”…휴머노이드 앞세워 반격하는 삼성전자,2025-01-01,08:55,섹터,"삼성전자는 레인보우로보틱스를 인수하고 최대주주로 선정함으로써 휴머노이드 로봇 시장에서의 기술 확보와 시장 공략을 강화하고 있다. 레인보우로보틱스는 2족 보행 로봇 '휴보'를 개발한 한국 대표 로봇 기업으로, 삼성전자는 이 회사의 AI와 로봇 기술을 삼성의 반도체, AI, SW 기술과 결합하여 미래 로봇 기술 경쟁력을 높일 계획이다. 신설된 '미래로봇추진단'은 로봇 개발에 집중하고, 생산 현장..."
news_20250101_섹터_0027,"위기에도 역대 최대 기록한 수출, 성장동력 발굴 이어가길 [사설]",2025-01-01,17:20,섹터,"한국의 지난해 수출이 역대 최고치를 기록하며 무역수지 흑자도 518억달러로 2018년 이후 최대를 보였다. 이는 반도체 수출이 43.9% 증가한데 따른 결과로, AI 열풍과 전기차 수요 정체 속에서 자동차 수출도 전년 수준을 유지했다. 지역별로 미국, 중국, 아세안 등 주력 시장과 중남미, 인도, 중동 등 신흥 시장의 수출이 고르게 증가했다. 올해도 2%대의 수출 증가율이 전망되나, 글로벌..."
news_20250101_섹터_0016,"“이젠 로봇도 초격차 도전”…삼성전자, 국가대표 로봇 기업 전격 인수",2025-01-01,08:35,섹터,"삼성전자가 로봇 전문기업 레인보우로보틱스의 최대주주로 올라선 가운데, 로봇 산업의 중요성이 부각되고 있다. 레인보우로보틱스는 2011년 국내 최초 이족보행 로봇 '휴보'를 개발한 카이스트 연구진이 만든 기업으로, 삼성전자는 이 회사의 로봇 기술을 활용해 지능형 휴머노이드 개발에 나선다. 삼성전자는 미래로봇추진단을 신설하고, 오준호 카이스트 명예교수가 단장을 맡아 휴머노이드 개발에 집중할 계획..."
news_20250101_섹터_0018,2024년 연간 수출 6838억 달러 역대 최대...12월 반도체 수출도 급증,2025-01-01,09:08,섹터,"2024년 부산항의 수출은 6838억달러로 전년 대비 8.2% 증가했으며, 수입은 6320억달러로 1.6% 감소해 무역수지는 518억달러 흑자를 기록했다. 12월 수출은 613억8000만달러로 전년 동기 대비 6.6% 증가했고 수입은 548억9000만달러로 3.3% 증가해 무역수지는 64억9000만달러 흑자를 보였다. 전 세계 수출 순위는 6위를 차지했으며, 연간 무역수지 흑자 규모는 518..."
