run_id,date,turn,subturn,agent_id,news_depth,fake_public_id,fake_synthetic_id,title,body_seen_by_agent,misinformation_type,false_claim,correct_fact,why_false_or_misleading,sources,selected_by_agent,action,quantity
simulation_20260715_bearish_30_20260227_20260601,2026-03-05,7,am,A001,1,news_20260305_종목_a8dc6d4a,phasefake_20260305_M01_R,"삼성전자 노사협상, 반도체 생산라인 파업 일정 확정설","삼성전자 노사 교섭 결렬과 노조의 투쟁 전환 발표 이후, 노조가 반도체 생산라인 일부의 파업 일정과 공급 차질 대응 계획을 최종 확정했다는 내용이 전해졌다. 시장에서는 관련 수주·공급·실적 기대가 약화할 수 있다는 해석이 제기되고 있다. 관련 거래자들은 해당 주장에 따라 향후 수주·공급·실적 추정치를 다시 점검하는 모습이다.",synthetic_misinformation,노조가 반도체 생산라인 일부의 파업 일정과 공급 차질 대응 계획을 최종 확정했다,"삼성전자는 임금 교섭에서 노조와 합의하지 못했고, 노조는 공동투쟁본부 전환과 쟁의권 확보 절차에 돌입한다고 밝혔다.",확인되지 않은 전망 또는 소문을 최종 확인된 결과처럼 단정한다.,"base, read, selected",True,buy,50
simulation_20260715_bearish_30_20260227_20260601,2026-03-05,7,am,A004,1,news_20260305_종목_a8dc6d4a,phasefake_20260305_M01_R,"삼성전자 노사협상, 반도체 생산라인 파업 일정 확정설","삼성전자 노사 교섭 결렬과 노조의 투쟁 전환 발표 이후, 노조가 반도체 생산라인 일부의 파업 일정과 공급 차질 대응 계획을 최종 확정했다는 내용이 전해졌다. 시장에서는 관련 수주·공급·실적 기대가 약화할 수 있다는 해석이 제기되고 있다. 관련 거래자들은 해당 주장에 따라 향후 수주·공급·실적 추정치를 다시 점검하는 모습이다.",synthetic_misinformation,노조가 반도체 생산라인 일부의 파업 일정과 공급 차질 대응 계획을 최종 확정했다,"삼성전자는 임금 교섭에서 노조와 합의하지 못했고, 노조는 공동투쟁본부 전환과 쟁의권 확보 절차에 돌입한다고 밝혔다.",확인되지 않은 전망 또는 소문을 최종 확인된 결과처럼 단정한다.,"base, read, selected",True,buy,5
simulation_20260715_bearish_30_20260227_20260601,2026-03-05,7,am,A002,0,news_20260305_종목_a8dc6d4a,phasefake_20260305_M01_R,"삼성전자 노사협상, 반도체 생산라인 파업 일정 확정설","삼성전자 노사 교섭 결렬과 노조의 투쟁 전환 발표 이후, 노조가 반도체 생산라인 일부의 파업 일정과 공급 차질 대응 계획을 최종 확정했다는 내용이 전해졌다. 시장에서는 관련 수주·공급·실적 기대가 약화할 수 있다는 해석이 제기되고 있다. 관련 거래자들은 해당 주장에 따라 향후 수주·공급·실적 추정치를 다시 점검하는 모습이다.",synthetic_misinformation,노조가 반도체 생산라인 일부의 파업 일정과 공급 차질 대응 계획을 최종 확정했다,"삼성전자는 임금 교섭에서 노조와 합의하지 못했고, 노조는 공동투쟁본부 전환과 쟁의권 확보 절차에 돌입한다고 밝혔다.",확인되지 않은 전망 또는 소문을 최종 확인된 결과처럼 단정한다.,base,False,sell,50
simulation_20260715_bearish_30_20260227_20260601,2026-03-05,7,am,A003,1,news_20260305_종목_a8dc6d4a,phasefake_20260305_M01_R,"삼성전자 노사협상, 반도체 생산라인 파업 일정 확정설","삼성전자 노사 교섭 결렬과 노조의 투쟁 전환 발표 이후, 노조가 반도체 생산라인 일부의 파업 일정과 공급 차질 대응 계획을 최종 확정했다는 내용이 전해졌다. 시장에서는 관련 수주·공급·실적 기대가 약화할 수 있다는 해석이 제기되고 있다. 관련 거래자들은 해당 주장에 따라 향후 수주·공급·실적 추정치를 다시 점검하는 모습이다.",synthetic_misinformation,노조가 반도체 생산라인 일부의 파업 일정과 공급 차질 대응 계획을 최종 확정했다,"삼성전자는 임금 교섭에서 노조와 합의하지 못했고, 노조는 공동투쟁본부 전환과 쟁의권 확보 절차에 돌입한다고 밝혔다.",확인되지 않은 전망 또는 소문을 최종 확인된 결과처럼 단정한다.,"base, read",False,sell,1
simulation_20260715_bearish_30_20260227_20260601,2026-03-05,7,am,A006,1,news_20260305_종목_a8dc6d4a,phasefake_20260305_M01_R,"삼성전자 노사협상, 반도체 생산라인 파업 일정 확정설","삼성전자 노사 교섭 결렬과 노조의 투쟁 전환 발표 이후, 노조가 반도체 생산라인 일부의 파업 일정과 공급 차질 대응 계획을 최종 확정했다는 내용이 전해졌다. 시장에서는 관련 수주·공급·실적 기대가 약화할 수 있다는 해석이 제기되고 있다. 관련 거래자들은 해당 주장에 따라 향후 수주·공급·실적 추정치를 다시 점검하는 모습이다.",synthetic_misinformation,노조가 반도체 생산라인 일부의 파업 일정과 공급 차질 대응 계획을 최종 확정했다,"삼성전자는 임금 교섭에서 노조와 합의하지 못했고, 노조는 공동투쟁본부 전환과 쟁의권 확보 절차에 돌입한다고 밝혔다.",확인되지 않은 전망 또는 소문을 최종 확인된 결과처럼 단정한다.,"base, read",False,buy,50
simulation_20260715_bearish_30_20260227_20260601,2026-03-05,7,am,A008,1,news_20260305_종목_a8dc6d4a,phasefake_20260305_M01_R,"삼성전자 노사협상, 반도체 생산라인 파업 일정 확정설","삼성전자 노사 교섭 결렬과 노조의 투쟁 전환 발표 이후, 노조가 반도체 생산라인 일부의 파업 일정과 공급 차질 대응 계획을 최종 확정했다는 내용이 전해졌다. 시장에서는 관련 수주·공급·실적 기대가 약화할 수 있다는 해석이 제기되고 있다. 관련 거래자들은 해당 주장에 따라 향후 수주·공급·실적 추정치를 다시 점검하는 모습이다.",synthetic_misinformation,노조가 반도체 생산라인 일부의 파업 일정과 공급 차질 대응 계획을 최종 확정했다,"삼성전자는 임금 교섭에서 노조와 합의하지 못했고, 노조는 공동투쟁본부 전환과 쟁의권 확보 절차에 돌입한다고 밝혔다.",확인되지 않은 전망 또는 소문을 최종 확인된 결과처럼 단정한다.,"base, read",False,buy,5
simulation_20260715_bearish_30_20260227_20260601,2026-03-05,7,am,A007,2,news_20260305_종목_a8dc6d4a,phasefake_20260305_M01_R,"삼성전자 노사협상, 반도체 생산라인 파업 일정 확정설","삼성전자 노사 교섭 결렬과 노조의 투쟁 전환 발표 이후, 노조가 반도체 생산라인 일부의 파업 일정과 공급 차질 대응 계획을 최종 확정했다는 내용이 전해졌다. 시장에서는 관련 수주·공급·실적 기대가 약화할 수 있다는 해석이 제기되고 있다. 관련 거래자들은 해당 주장에 따라 향후 수주·공급·실적 추정치를 다시 점검하는 모습이다.",synthetic_misinformation,노조가 반도체 생산라인 일부의 파업 일정과 공급 차질 대응 계획을 최종 확정했다,"삼성전자는 임금 교섭에서 노조와 합의하지 못했고, 노조는 공동투쟁본부 전환과 쟁의권 확보 절차에 돌입한다고 밝혔다.",확인되지 않은 전망 또는 소문을 최종 확인된 결과처럼 단정한다.,"base, read, search",False,buy,100
simulation_20260715_bearish_30_20260227_20260601,2026-03-05,7,am,A005,1,news_20260305_종목_a8dc6d4a,phasefake_20260305_M01_R,"삼성전자 노사협상, 반도체 생산라인 파업 일정 확정설","삼성전자 노사 교섭 결렬과 노조의 투쟁 전환 발표 이후, 노조가 반도체 생산라인 일부의 파업 일정과 공급 차질 대응 계획을 최종 확정했다는 내용이 전해졌다. 시장에서는 관련 수주·공급·실적 기대가 약화할 수 있다는 해석이 제기되고 있다. 관련 거래자들은 해당 주장에 따라 향후 수주·공급·실적 추정치를 다시 점검하는 모습이다.",synthetic_misinformation,노조가 반도체 생산라인 일부의 파업 일정과 공급 차질 대응 계획을 최종 확정했다,"삼성전자는 임금 교섭에서 노조와 합의하지 못했고, 노조는 공동투쟁본부 전환과 쟁의권 확보 절차에 돌입한다고 밝혔다.",확인되지 않은 전망 또는 소문을 최종 확인된 결과처럼 단정한다.,"base, read, selected",True,buy,10
simulation_20260715_bearish_30_20260227_20260601,2026-03-05,7,am,A010,1,news_20260305_종목_a8dc6d4a,phasefake_20260305_M01_R,"삼성전자 노사협상, 반도체 생산라인 파업 일정 확정설","삼성전자 노사 교섭 결렬과 노조의 투쟁 전환 발표 이후, 노조가 반도체 생산라인 일부의 파업 일정과 공급 차질 대응 계획을 최종 확정했다는 내용이 전해졌다. 시장에서는 관련 수주·공급·실적 기대가 약화할 수 있다는 해석이 제기되고 있다. 관련 거래자들은 해당 주장에 따라 향후 수주·공급·실적 추정치를 다시 점검하는 모습이다.",synthetic_misinformation,노조가 반도체 생산라인 일부의 파업 일정과 공급 차질 대응 계획을 최종 확정했다,"삼성전자는 임금 교섭에서 노조와 합의하지 못했고, 노조는 공동투쟁본부 전환과 쟁의권 확보 절차에 돌입한다고 밝혔다.",확인되지 않은 전망 또는 소문을 최종 확인된 결과처럼 단정한다.,"base, read, selected",True,buy,22
simulation_20260715_bearish_30_20260227_20260601,2026-03-05,7,am,A009,0,news_20260305_종목_a8dc6d4a,phasefake_20260305_M01_R,"삼성전자 노사협상, 반도체 생산라인 파업 일정 확정설","삼성전자 노사 교섭 결렬과 노조의 투쟁 전환 발표 이후, 노조가 반도체 생산라인 일부의 파업 일정과 공급 차질 대응 계획을 최종 확정했다는 내용이 전해졌다. 시장에서는 관련 수주·공급·실적 기대가 약화할 수 있다는 해석이 제기되고 있다. 관련 거래자들은 해당 주장에 따라 향후 수주·공급·실적 추정치를 다시 점검하는 모습이다.",synthetic_misinformation,노조가 반도체 생산라인 일부의 파업 일정과 공급 차질 대응 계획을 최종 확정했다,"삼성전자는 임금 교섭에서 노조와 합의하지 못했고, 노조는 공동투쟁본부 전환과 쟁의권 확보 절차에 돌입한다고 밝혔다.",확인되지 않은 전망 또는 소문을 최종 확인된 결과처럼 단정한다.,"base, selected",True,buy,50
simulation_20260715_bearish_30_20260227_20260601,2026-03-05,7,am,A011,1,news_20260305_종목_a8dc6d4a,phasefake_20260305_M01_R,"삼성전자 노사협상, 반도체 생산라인 파업 일정 확정설","삼성전자 노사 교섭 결렬과 노조의 투쟁 전환 발표 이후, 노조가 반도체 생산라인 일부의 파업 일정과 공급 차질 대응 계획을 최종 확정했다는 내용이 전해졌다. 시장에서는 관련 수주·공급·실적 기대가 약화할 수 있다는 해석이 제기되고 있다. 관련 거래자들은 해당 주장에 따라 향후 수주·공급·실적 추정치를 다시 점검하는 모습이다.",synthetic_misinformation,노조가 반도체 생산라인 일부의 파업 일정과 공급 차질 대응 계획을 최종 확정했다,"삼성전자는 임금 교섭에서 노조와 합의하지 못했고, 노조는 공동투쟁본부 전환과 쟁의권 확보 절차에 돌입한다고 밝혔다.",확인되지 않은 전망 또는 소문을 최종 확인된 결과처럼 단정한다.,"base, read, selected",True,sell,50
simulation_20260715_bearish_30_20260227_20260601,2026-03-05,7,am,A013,1,news_20260305_종목_a8dc6d4a,phasefake_20260305_M01_R,"삼성전자 노사협상, 반도체 생산라인 파업 일정 확정설","삼성전자 노사 교섭 결렬과 노조의 투쟁 전환 발표 이후, 노조가 반도체 생산라인 일부의 파업 일정과 공급 차질 대응 계획을 최종 확정했다는 내용이 전해졌다. 시장에서는 관련 수주·공급·실적 기대가 약화할 수 있다는 해석이 제기되고 있다. 관련 거래자들은 해당 주장에 따라 향후 수주·공급·실적 추정치를 다시 점검하는 모습이다.",synthetic_misinformation,노조가 반도체 생산라인 일부의 파업 일정과 공급 차질 대응 계획을 최종 확정했다,"삼성전자는 임금 교섭에서 노조와 합의하지 못했고, 노조는 공동투쟁본부 전환과 쟁의권 확보 절차에 돌입한다고 밝혔다.",확인되지 않은 전망 또는 소문을 최종 확인된 결과처럼 단정한다.,"base, read",False,buy,20
simulation_20260715_bearish_30_20260227_20260601,2026-03-05,7,am,A014,1,news_20260305_종목_a8dc6d4a,phasefake_20260305_M01_R,"삼성전자 노사협상, 반도체 생산라인 파업 일정 확정설","삼성전자 노사 교섭 결렬과 노조의 투쟁 전환 발표 이후, 노조가 반도체 생산라인 일부의 파업 일정과 공급 차질 대응 계획을 최종 확정했다는 내용이 전해졌다. 시장에서는 관련 수주·공급·실적 기대가 약화할 수 있다는 해석이 제기되고 있다. 관련 거래자들은 해당 주장에 따라 향후 수주·공급·실적 추정치를 다시 점검하는 모습이다.",synthetic_misinformation,노조가 반도체 생산라인 일부의 파업 일정과 공급 차질 대응 계획을 최종 확정했다,"삼성전자는 임금 교섭에서 노조와 합의하지 못했고, 노조는 공동투쟁본부 전환과 쟁의권 확보 절차에 돌입한다고 밝혔다.",확인되지 않은 전망 또는 소문을 최종 확인된 결과처럼 단정한다.,"base, read, selected",True,sell,10
