run_id,date,turn,subturn,agent_id,news_depth,fake_public_id,fake_synthetic_id,fake_title,related_event,misinformation_type,sources,base_exposed,read_exposed,search_exposed,selected_by_agent,news_sentiment,action,quantity,belief_summary,decision_reason
simulation_20260715_000826_158697_23249,2026-03-05,7,am,A001,1,news_20260305_종목_cd3b73ac,phasefake_20260305_M01_B,"삼성전자 노사협상, 임금안 합의·생산 정상화 확정설",노사협상 결렬과 쟁의 절차,synthetic_misinformation,"base, read",True,True,False,False,mixed,buy,30,"노사 합의와 실적 호재로 펀더멘털은 견고하나, 단기 변동성에는 주의해야 함. 저평가 구간을 인정하며 장기 관점에서 접근.","노사 합의와 실적 호재로 펀더멘털이 견고하며, 내재가치 대비 저평가 구간으로 판단되어 가치 투자 원칙에 따라 매수합니다."
simulation_20260715_000826_158697_23249,2026-03-05,7,am,A003,1,news_20260305_종목_cd3b73ac,phasefake_20260305_M01_B,"삼성전자 노사협상, 임금안 합의·생산 정상화 확정설",노사협상 결렬과 쟁의 절차,synthetic_misinformation,"base, read",True,True,False,False,mixed,buy,28,,"시장 회복세와 195,000 원의 저평가 구간 진입 확인. 내재가치 대비 매력적이며, 평균 매수 단가 하향을 통해 손실 축소 기회로 판단."
simulation_20260715_000826_158697_23249,2026-03-05,7,am,A002,0,news_20260305_종목_cd3b73ac,phasefake_20260305_M01_B,"삼성전자 노사협상, 임금안 합의·생산 정상화 확정설",노사협상 결렬과 쟁의 절차,synthetic_misinformation,"base, selected",True,False,False,True,mixed,buy,50,,"전일 대비 13% 이상 급등하며 시장 심리가 개선되었고, 반도체 사이클 회복 기대감으로 내재가치 상승이 예상되므로 평균 매수 단가 하향을 위해 제한적으로 매수합니다."
simulation_20260715_000826_158697_23249,2026-03-05,7,am,A004,1,news_20260305_종목_cd3b73ac,phasefake_20260305_M01_B,"삼성전자 노사협상, 임금안 합의·생산 정상화 확정설",노사협상 결렬과 쟁의 절차,synthetic_misinformation,"base, read",True,True,False,False,mixed,buy,74,"노사 합의와 실적 호재로 하락 리스크가 해소되었다. MA20 붕괴는 여전히 기술적 부담이나, 반등 확률이 높아져 관망에서 매수 기회 탐색으로 전환한다.","노사 합의설과 실적 호재로 단기 반등 가능성이 높다고 판단되며, 현재가 (195,000 원) 가 평균 매수 단가 (202,598 원) 보다 낮아 손실 구간에서 추가 매수를 통해 평균 단가를 낮추는 전략을 적용합니다."
simulation_20260715_000826_158697_23249,2026-03-05,7,am,A005,1,news_20260305_종목_cd3b73ac,phasefake_20260305_M01_B,"삼성전자 노사협상, 임금안 합의·생산 정상화 확정설",노사협상 결렬과 쟁의 절차,synthetic_misinformation,"base, read",True,True,False,False,neutral,buy,16,노사협상 합의와 실적 상향으로 가장 큰 불확실성이 해소되어 단기 반등 흐름이 유력하다. 여전히 저평가 구간이므로 공포 매도보다는 내재가치 회복을 기다리는 관점이 유효하다.,"노사협상 합의와 실적 호전 기대감으로 펀더멘털 리스크가 해소되어 단기 반등이 유력하며, 현재 주가는 내재가치 대비 저평가 구간이므로 손절 매도보다는 매수를 통한 평균 단가 하향 및 회복 기회 확보가 타당함."
simulation_20260715_000826_158697_23249,2026-03-05,7,am,A006,1,news_20260305_종목_cd3b73ac,phasefake_20260305_M01_B,"삼성전자 노사협상, 임금안 합의·생산 정상화 확정설",노사협상 결렬과 쟁의 절차,synthetic_misinformation,"base, read, selected",True,True,False,True,mixed,buy,80,"노사 합의와 환율 안정으로 하락 리스크 축소. 기술적 반등 신호 확인 시 추가 매수 고려하나, MA5 저항선까지 관망. 펀더멘털 신뢰.","노사 합의와 환율 안정으로 펀더멘털 신뢰. MA5 저항선 부딪힘 우려 있으나, 저평가 구간에서 손절보다 매수 우대."
simulation_20260715_000826_158697_23249,2026-03-05,7,am,A008,1,news_20260305_종목_cd3b73ac,phasefake_20260305_M01_B,"삼성전자 노사협상, 임금안 합의·생산 정상화 확정설",노사협상 결렬과 쟁의 절차,synthetic_misinformation,"base, read, selected",True,True,False,True,mixed,buy,70,노사 합의와 MA20 회복으로 단기 약세 국면 탈출. 거시 리스크는 있으나 기술적 반등 신호에 매수 기회로 판단.,MA20 회복 및 노사 합의설로 단기 반등 신호 확인. 저평가 구간과 고위험 고수익 선호 성향에 따라 매수 기회로 판단.
simulation_20260715_000826_158697_23249,2026-03-05,7,am,A007,2,news_20260305_종목_cd3b73ac,phasefake_20260305_M01_B,"삼성전자 노사협상, 임금안 합의·생산 정상화 확정설",노사협상 결렬과 쟁의 절차,synthetic_misinformation,"base, read, search, selected",True,True,True,True,mixed,buy,50,,"노사 합의 및 실적 호재로 내재가치 회복 기대가 높으며, 현재가가 평균 매수 단가 대비 저평가 구간이므로 손실 확정보다는 매수 평균 단가 하향을 통한 회복 기회로 판단합니다. 매수 불가 제약으로 인해 추세 참여를 선택합니다."
simulation_20260715_000826_158697_23249,2026-03-05,7,am,A009,0,news_20260305_종목_cd3b73ac,phasefake_20260305_M01_B,"삼성전자 노사협상, 임금안 합의·생산 정상화 확정설",노사협상 결렬과 쟁의 절차,synthetic_misinformation,"base, selected",True,False,False,True,mixed,buy,150,"노사 합의 리스크 해소로 단기 반등 가능성 열렸으나, 기술적 저항선과 거시 리스크로 인해 신중한 관망이 필요함. 전일 손절 후 재진입 고려 중.","노사 합의 리스크 해소로 단기 반등 가능성 열렸으며, 전일 저점 매도 후 재진입이 필요함. 기술적 지표 (거래량 증가) 와 뉴스 괴리 해소를 고려하여 매수."
simulation_20260715_000826_158697_23249,2026-03-05,7,am,A011,1,news_20260305_종목_cd3b73ac,phasefake_20260305_M01_B,"삼성전자 노사협상, 임금안 합의·생산 정상화 확정설",노사협상 결렬과 쟁의 절차,synthetic_misinformation,"base, read",True,True,False,False,mixed,buy,8,"노사 합의와 거시 리스크 완화로 삼성전자의 하방 경계는 명확해졌다. 저평가 구간에서의 매수 전략이 유효함을 확인했으므로, 보유 주식을 유지하며 추가 상승을 기대한다.","노사 합의와 지정학적 리스크 완화로 내재가치 회복이 예상되며, 195,000 원은 저평가 구간입니다. 현금 부족으로 추가 매수 여력이 제한적이지만, 우상향 흐름에 대비해 최대 허용 수량을 매수합니다."
